time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
181.0,,s,R,14.8,,magnitude,,n,n,,,,,,,1.0,n,,Skynet 0.4m,GCN35103,,
5786.0,,s,R,17.02,0.04,magnitude,,n,n,,,,,,,1.0,n,,Skynet 0.4m Meckering,GCN35108,,
5904.0,,s,I,16.65,0.07,magnitude,,n,n,,,,,,,1.0,n,,Skynet 0.4m Meckering,GCN35108,,
6147.0,,s,q,17.65,0.05,magnitude,AB,n,n,,,,,,,1.0,n,,MeerLICHT,GCN35126,,
6246.0,,s,u,18.39,0.2,magnitude,AB,n,n,,,,,,,1.0,n,,MeerLICHT,GCN35126,,
6459.0,,s,g,18.03,0.09,magnitude,AB,n,n,,,,,,,1.0,n,,MeerLICHT,GCN35126,,
6674.0,,s,r,17.4,0.12,magnitude,AB,n,n,,,,,,,1.0,n,,MeerLICHT,GCN35126,,
7944.0,,s,i,17.24,0.11,magnitude,AB,n,n,,,,,,,1.0,n,,MeerLICHT,GCN35126,,
9230.0,,s,z,17.72,0.17,magnitude,AB,n,n,,,,,,,1.0,n,,MeerLICHT,GCN35126,,
14611.0,,s,I,18.67,0.03,magnitude,,n,n,,,,,,,1.0,n,,LCOGT 1m Sinistro,GCN35110,,
14611.0,,s,R,19.08,0.04,magnitude,,n,n,,,,,,,1.0,n,,LCOGT 1m Sinistro,GCN35110,,
18822.0,,s,r,19.45,0.14,magnitude,,n,n,,,,,,,1.0,n,,LCO 1m Sinistro,GCN35113,,
18822.0,,s,i,19.44,0.19,magnitude,,n,n,,,,,,,1.0,n,,LCO 1m Sinistro,GCN35113,,
18822.0,,s,g,19.81,0.09,magnitude,,n,n,,,,,,,1.0,n,,LCO 1m Sinistro,GCN35113,,
26794.0,,s,H,17.7,,magnitude,Vega,n,y,,,,,,,1.0,n,,REM,GCN35167,,
27294.0,,s,r,19.88,0.04,magnitude,AB,n,n,,,,,,,1.0,n,,VLT UT3 acquisition camera,GCN35123,,
27658.0,,s,i,19.19,0.11,magnitude,AB,n,n,,,,,,,1.0,n,,REM,GCN35167,,
27658.0,,s,r,19.66,0.08,magnitude,AB,n,n,,,,,,,1.0,n,,REM,GCN35167,,
162811.0,,s,9GHz,0.4,,mJy,,n,n,,,,,,,1.0,n,,ATCA,GCN35155,,
