time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
36.6429,,s,60070.71523148148,i,17.4,,magnitude,,n,y,,,,,,,1.0,n,,NUTTelA-TAO/BSTI,GCN33738,,
103.643,,s,60070.7160069456,i,18.0,,magnitude,,n,y,,,,,,,1.0,n,,NUTTelA-TAO/BSTI,GCN33738,,
934.643,,s,60070.725625001156,R,20.1,0.1,magnitude,,n,n,,,,,,,1.0,n,,Zeiss-1000/TSHAO,GCN33734,,
934.643,,s,60070.725625001156,R,21.5,,magnitude,,n,y,,,,,,,1.0,n,,Zeiss-1000/TSHAO,GCN33734,,
4624.64,,s,60070.76833329977,w,18.5,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN33739,,
4830.64,,s,60070.770717559026,uvot-uvw2,20.3,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN33739,,
5035.64,,s,60070.77309024421,uvot-v,19.2,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN33739,,
5240.64,,s,60070.7754629294,uvot-uvm2,21.5,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN33739,,
5408.64,,s,60070.77740737384,Rc,20.5,0.3,magnitude,,n,n,,,,,,,1.0,n,,SAO RAS Zeiss-1000,GCN33748,,
5445.64,,s,60070.77783561459,uvot-uvw1,20.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN33739,,
5613.64,,s,60070.77978005903,uvot-u,19.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN33739,,
13919.6,,s,60070.87591385532,r,20.9,0.06,magnitude,AB,n,n,,,,,,,1.0,n,,T193cm/MISTRAL,GCN33741,,
14830.6,,s,60070.88645783681,i,20.54,0.11,magnitude,AB,n,n,,,,,,,1.0,n,,D50/Ondrejov,GCN33735,,
26524.6,,s,60071.02180505903,R,20.5,,magnitude,,n,y,,,,,,,1.0,n,,VIRT 0.5m,GCN35181,,
