time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
39135.0,,s,r,20.2,,mag,AB,n,y,,,,,,,1.0,n,,Sinistro/LCO 1m SAAO,GCN42980,
40395.0,,s,z,19.0,,mag,AB,n,y,,,,,,,1.0,n,,Sinistro/LCO 1m SAAO,GCN42980,
48800.0,,s,VT-B,22.1,0.1,mag,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN42987,
48800.0,,s,VT-R,21.7,0.1,mag,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN42987,
66574.0,,s,J,19.3,,mag,AB,n,y,,,,,,,1.0,n,,Palomar 1m/WINTER,GCN42993,
71480.0,,s,VT-R,22.4,0.2,mag,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN42987,
71480.0,,s,VT-B,23.0,0.3,mag,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN42987,
160602.0,,s,r,22.91,,mag,AB,n,y,,,,,,,1.0,n,,DDRAGO/SVOM-COLIBRI,GCN42998,
160602.0,,s,z,22.47,,mag,AB,n,y,,,,,,,1.0,n,,DDRAGO/SVOM-COLIBRI,GCN42998,
160602.0,,s,r,22.34,0.14,mag,AB,n,n,,,,,,,1.0,n,,DDRAGO/SVOM-COLIBRI,GCN42998,
160602.0,,s,z,21.96,0.14,mag,AB,n,n,,,,,,,1.0,n,,DDRAGO/SVOM-COLIBRI,GCN42998,
