time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
335.0,,s,uvot-u,19.2,,mag,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN41511,
5210.0,,s,r,21.25,0.09,mag,AB,n,n,,,,,,,1.0,n,,Liverpool Telescope/IO:O,GCN41512,
6961.0,,s,VT-B,21.8,0.08,mag,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN41523,
6961.0,,s,VT-R,20.92,0.06,mag,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN41523,
12170.0,,s,i,22.5,0.55,mag,,n,n,,,,,,,1.0,n,,LCOGT 1m Sinistro,GCN41514,
12170.0,,s,r,21.2,0.15,mag,,n,n,,,,,,,1.0,n,,LCOGT 1m Sinistro,GCN41514,
15691.0,,s,r,21.89,0.05,mag,AB,n,n,,,,,,,1.0,n,,NOT,GCN41520,
16900.0,,s,z,21.15,0.12,mag,AB,n,n,,,,,,,1.0,n,,NOT,GCN41520,
35686.0,,s,VT-R,22.8,0.3,mag,AB,n,n,,,,,,,1.0,n,,SVOM/VT,GCN41523,
36200.0,,s,i,22.74,0.21,mag,AB,n,n,,,,,,,1.0,n,,DDRAGO/COLIBRI,GCN41525,
