time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
28.0,,s,R,15.9,,mag,,n,y,,,,,,,1.0,n,,ROTSE-IIIc,GCN3406,
94.0,,s,R,17.0,,mag,,n,y,,,,,,,1.0,n,,ROTSE-IIIc,GCN3406,
338.0,,s,R,17.5,,mag,,n,y,,,,,,,1.0,n,,ROTSE-IIIc,GCN3406,
814.0,,s,R,17.7,,mag,,n,y,,,,,,,1.0,n,,ROTSE-IIIc,GCN3406,
90389.0,,s,R,19.0,,mag,,n,y,,,,,,,1.0,n,,REM/ROSS,GCN3427,
90389.0,,s,H,15.5,,mag,,n,y,,,,,,,1.0,n,,REM/ROSS,GCN3427,
99749.0,,s,R,20.1,,mag,,n,n,,,,,,,1.0,n,,Danish 1.54m + DFOSC,GCN3425,
436234.0,,s,R,24.0,,mag,,n,n,,,,,,,1.0,n,,Danish 1.54m + DFOSC,GCN3425,
965088.0,,s,85GHz,0.10400000000000001,,mJy,,n,y,,,,,,,1.0,n,,VLA,GCN3440,
2603232.0,,s,85GHz,0.31,0.049,mJy,,n,n,,,,,,,1.0,n,,VLA,GCN3543,
3810240.0,492480.0,s,8.46GHz,0.344,0.045,mJy,,n,n,,,,,,,1.0,n,VLA,,"Chandra & Frail 2012, ApJ, 746, 156 (rssgrbag)",
5059560.0,,s,1.28GHz,0.22,,mJy,,n,y,,,,,,,1.0,n,,GMRT,GCN3861,
7558260.0,,s,1.28GHz,0.12,,mJy,,n,y,,,,,,,1.0,n,,GMRT,GCN3861,
