time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
158.0,,s,56197.946805555555,w,19.6,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN13822,,
162.683,5.347,s,56197.94685975694,10keV,1.42271206326267e-06,2.67800380442584e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
176.875,7.809,s,56197.947024016205,10keV,1.19979282512143e-05,2.5650638691238e-06,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
201.041,16.356,s,56197.94730371528,10keV,4.29756444968249e-06,9.1878591204353e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
233.256,18.484,s,56197.94767657408,10keV,2.57819414708196e-06,5.67542866346542e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
254.45,12.975,s,56197.947921875,10keV,3.17466877569426e-06,7.13133118293704e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
278.487,14.012,s,56197.94820008102,10keV,2.10486091382289e-06,4.71378463537426e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
308.996,16.497,s,56197.948553194445,10keV,2.17814415694456e-06,4.6438194047385e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
341.32,18.876,s,56197.948927314814,10keV,1.84629844383391e-06,4.04066654378089e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
381.942,21.746,s,56197.949397476856,10keV,1.48632298553519e-06,3.32858619364744e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
425.567,25.254,s,56197.949902395834,10keV,1.03790161874248e-06,2.33503089170091e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
461.152,19.396,s,56197.95031425926,10keV,1.43291016046164e-06,3.2138660307306e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
