time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
1252.0,,s,R,19.3,0.3,mag,,n,n,,,,,,,1.0,n,,TNT 0.8m,GCN6929,
2049.0,,s,R,19.4,0.4,mag,,n,n,,,,,,,1.0,n,,TNT 0.8m,GCN6929,
2085.0,,s,R,18.2,,mag,,n,n,,,,,,,1.0,n,,SR-22 (UAFO),GCN6925,
4106.0,,s,R,19.7,0.2,mag,,n,n,,,,,,,1.0,n,,TNT 0.8m,GCN6929,
4268.0,,s,R,19.2,,mag,,n,y,,,,,,,1.0,n,,Sayan 1.5m,GCN6910,
24716.0,,s,Rc,23.0,,mag,,n,y,,,,,,,1.0,n,,Tautenburg 1.34m Schmidt,GCN6917,
24716.0,,s,Rc,19.565,0.009,mag,,n,n,,,,,,,1.0,n,,TLS 1.34m Schmidt,GCN6930,
31150.0,,s,R,20.5,,mag,,n,y,,,,,,,1.0,n,,NOT,GCN6912,
280971.0,,s,Rc,19.583,0.015,mag,,n,n,,,,,,,1.0,n,,TLS 1.34m Schmidt,GCN6930,
369832.0,,s,Rc,19.584,0.023,mag,,n,n,,,,,,,1.0,n,,TLS 1.34m Schmidt,GCN6930,
369832.0,,s,Rc,22.5,,mag,,n,y,,,,,,,1.0,n,,TLS 1.34m Schmidt,GCN6930,
