time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
47.0,,s,w,21.2,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20851,,
47.0,,s,w,20.5,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20851,,
206.0,,s,uvot-u,20.1,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20851,,
206.0,,s,uvot-u,19.7,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20851,,
462.0,,s,uvot-b,20.1,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20851,,
512.0,,s,uvot-uvw2,20.2,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20851,,
537.0,,s,uvot-v,20.3,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20851,,
561.0,,s,uvot-uvm2,20.1,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20851,,
587.0,,s,uvot-uvw1,20.1,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN20851,,
2237.0,,s,z,21.0,,magnitude,AB,n,y,,,,,,,1.0,n,,VLT/X-shooter,GCN20858,,
5715.0,,s,K,19.0,,magnitude,AB,n,y,,,,,,,1.0,n,,GROND,GCN20848,,
5715.0,,s,H,20.2,,magnitude,AB,n,y,,,,,,,1.0,n,,GROND,GCN20848,,
5715.0,,s,J,20.6,,magnitude,AB,n,y,,,,,,,1.0,n,,GROND,GCN20848,,
5715.0,,s,z,22.5,,magnitude,AB,n,y,,,,,,,1.0,n,,GROND,GCN20848,,
5715.0,,s,i,22.7,,magnitude,AB,n,y,,,,,,,1.0,n,,GROND,GCN20848,,
5715.0,,s,r,23.4,,magnitude,AB,n,y,,,,,,,1.0,n,,GROND,GCN20848,,
5715.0,,s,g,23.1,,magnitude,AB,n,y,,,,,,,1.0,n,,GROND,GCN20848,,
