time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
359.0,,s,G,17.51,,mag,,n,y,,,,,,,1.0,n,,"30-cm telescope, Univ. of Miyazaki",GCN2510,
6540.0,,s,R,20.9,,mag,,n,y,,,,,,,1.0,n,,Lulin Observatory telescope,GCN2494,
66600.0,,s,R,19.42,0.01,mag,,n,n,,,,,,,1.0,n,,CTIO 4-m/Mosaic2,GCN2513,
66600.0,,s,R,24.4,0.18,mag,,n,n,,,,,,,1.0,n,,CTIO 4-m/Mosaic2,GCN2513,
66600.0,,s,R,25.3,,mag,,n,y,,,,,,,1.0,n,,CTIO 4-m/Mosaic2,GCN2513,
66600.0,,s,R,20.61,0.01,mag,,n,n,,,,,,,1.0,n,,CTIO 4-m/Mosaic2,GCN2513,
66600.0,,s,R,23.03,0.04,mag,,n,n,,,,,,,1.0,n,,CTIO 4-m/Mosaic2,GCN2513,
660240.0,,s,R,19.42,0.05,mag,,n,n,,,,,,,1.0,n,,TNG/DOLORES,GCN2503,
660240.0,,s,R,23.1,0.07,mag,,n,n,,,,,,,1.0,n,,TNG/DOLORES,GCN2503,
660240.0,,s,R,23.48,0.11,mag,,n,n,,,,,,,1.0,n,,TNG/DOLORES,GCN2503,
660240.0,,s,R,24.0,,mag,,n,y,,,,,,,1.0,n,,TNG/DOLORES,GCN2503,
660240.0,,s,R,20.61,0.05,mag,,n,n,,,,,,,1.0,n,,TNG/DOLORES,GCN2503,
