time,time_err,time_unit,mjd,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment,source
148.812,2.438,s,53601.68499782408,10keV,1.01214386494029e-06,1.50881756176117e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
153.432,2.507,s,53601.6850512963,10keV,9.69273436344406e-07,1.82834253316843e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
158.442,3.429,s,53601.68510928241,10keV,1.07569455241815e-06,1.96394247869776e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
164.594,2.722,s,53601.685180486114,10keV,2.1977160936622e-06,4.01246653612174e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
169.26,3.033,s,53601.685234490746,10keV,2.9884215988957e-06,5.4560923273449e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
174.935,2.65,s,53601.685300173616,10keV,4.60395991051294e-06,8.40565281372741e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
180.814,3.245,s,53601.68536821759,10keV,2.39280856037846e-06,4.51356075309971e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
187.711,3.652,s,53601.68544804399,10keV,2.07584925066385e-06,4.04740840171646e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
195.606,5.588,s,53601.6855394213,10keV,1.53354433469489e-06,2.99004387732419e-07,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
216.551,12.569,s,53601.68578184028,10keV,1.83379455504747e-07,4.12260886549485e-08,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
238.265,18.369,s,53601.68603315973,10keV,1.52138198403436e-07,3.3335551476497e-08,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
239.0,,s,53601.68604166667,uvot-v,18.1,,magnitude,,n,y,,,,,,,1.0,n,,Swift/UVOT,GCN3826,,
303.28,46.645,s,53601.68678564815,10keV,5.39132889229751e-08,1.21861349414143e-08,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
400.961,61.272,s,53601.687916215276,10keV,4.55996401742899e-08,1.02403416045525e-08,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
587.816,215.411,s,53601.69007888889,10keV,1.79851546145726e-08,3.1601910139617e-09,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
4712.465,656.62,s,53601.73781788195,10keV,7.8820253068432e-09,2.10692411480536e-09,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
5884.845,818.557,s,53601.75138709491,10keV,6.49818533402519e-09,1.63503237546822e-09,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
7865.0,,s,53601.774305555555,R,21.6,,magnitude,,n,y,,,,,,,1.0,n,,RTT150 1.5m,GCN3831,,
11135.251,1290.342,s,53601.81215568287,10keV,6.76242383121308e-09,1.55582459570311e-09,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
16386.763,544.184,s,53601.87293707176,10keV,1.88808146280067e-08,4.99702548463313e-09,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
17627.8,913.495,s,53601.887300925926,10keV,1.17040505302841e-08,2.78886296628547e-09,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
23251.072,839.693,s,53601.9523850926,10keV,1.14216617898719e-08,2.78433962582248e-09,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
35300.872,15773.278,s,53602.09185037037,10keV,4.50731547285893e-09,1.09764785156544e-09,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
433857.737,167355.824,s,53606.70477704861,10keV,4.02140351832298e-10,1.77433738201442e-10,Jy,,n,n,,,,,,,1.0,n,Swift,XRT,"UKSSDC Swift Burst Analyser (Evans+2007,2009)",,
